"bin","f  "
1021,1.36859E-03
1022,1.37667E-03
1023,1.38610E-03
1024,1.39438E-03
1025,1.40265E-03
1026,1.41197E-03
1027,1.42061E-03
1028,1.42956E-03
1029,1.43795E-03
1030,1.44682E-03
1031,1.45605E-03
1032,1.46542E-03
1033,1.47470E-03
1034,1.48402E-03
1035,1.49293E-03
1036,1.50252E-03
1037,1.51194E-03
1038,1.52148E-03
1039,1.53060E-03
1040,1.54011E-03
1041,1.54905E-03
1042,1.55947E-03
1043,1.56980E-03
1044,1.57914E-03
1045,1.58863E-03
1046,1.59823E-03
1047,1.60841E-03
1048,1.61832E-03
1049,1.62811E-03
1050,1.63878E-03
1051,1.64956E-03
1052,1.65917E-03
1053,1.66955E-03
1054,1.67988E-03
1055,1.69023E-03
1056,1.70093E-03
1057,1.71205E-03
1058,1.72258E-03
1059,1.73272E-03
1060,1.74461E-03
1061,1.75499E-03
1062,1.76620E-03
1063,1.77662E-03
1064,1.78819E-03
1065,1.79898E-03
1066,1.81019E-03
1067,1.82159E-03
1068,1.83301E-03
1069,1.84527E-03
1070,1.85652E-03
1071,1.86743E-03
1072,1.87907E-03
1073,1.89028E-03
1074,1.90239E-03
1075,1.91458E-03
1076,1.92648E-03
1077,1.93851E-03
1078,1.95058E-03
1079,1.96218E-03
1080,1.97515E-03
1081,1.98694E-03
1082,1.99944E-03
1083,2.01193E-03
1084,2.02463E-03
1085,2.03734E-03
1086,2.04991E-03
1087,2.06360E-03
1088,2.07531E-03
1089,2.08784E-03
1090,2.10130E-03
1091,2.11524E-03
1092,2.12829E-03
1093,2.14132E-03
1094,2.15464E-03
1095,2.16804E-03
1096,2.18135E-03
1097,2.19527E-03
1098,2.20846E-03
1099,2.22327E-03
1100,2.23638E-03
1101,2.25084E-03
1102,2.26420E-03
1103,2.27861E-03
1104,2.29241E-03
1105,2.30653E-03
1106,2.32055E-03
1107,2.33568E-03
1108,2.34995E-03
1109,2.36480E-03
1110,2.38049E-03
1111,2.39452E-03
1112,2.40929E-03
1113,2.42420E-03
1114,2.43982E-03
1115,2.45466E-03
1116,2.47015E-03
1117,2.48581E-03
1118,2.50057E-03
1119,2.51626E-03
1120,2.53221E-03
1121,2.54791E-03
1122,2.56306E-03
1123,2.57896E-03
1124,2.59498E-03
1125,2.61228E-03
1126,2.62812E-03
1127,2.64506E-03
1128,2.66164E-03
1129,2.67821E-03
1130,2.69444E-03
1131,2.71106E-03
1132,2.72830E-03
1133,2.74480E-03
1134,2.76216E-03
1135,2.77948E-03
1136,2.79713E-03
1137,2.81487E-03
1138,2.83262E-03
1139,2.84961E-03
1140,2.86747E-03
1141,2.88567E-03
1142,2.90323E-03
1143,2.92191E-03
1144,2.93861E-03
1145,2.95765E-03
1146,2.97675E-03
1147,2.99502E-03
1148,3.01327E-03
1149,3.03216E-03
1150,3.05133E-03
1151,3.06968E-03
1152,3.08875E-03
1153,3.10846E-03
1154,3.12786E-03
1155,3.14707E-03
1156,3.16650E-03
1157,3.18664E-03
1158,3.20655E-03
1159,3.22670E-03
1160,3.24617E-03
1161,3.26732E-03
1162,3.28729E-03
1163,3.30812E-03
1164,3.32859E-03
1165,3.34843E-03
1166,3.36981E-03
1167,3.39149E-03
1168,3.41136E-03
1169,3.43325E-03
1170,3.45432E-03
1171,3.47662E-03
1172,3.49899E-03
1173,3.51943E-03
1174,3.54134E-03
1175,3.56349E-03
1176,3.58632E-03
1177,3.60814E-03
1178,3.63080E-03
1179,3.65314E-03
1180,3.67601E-03
1181,3.69820E-03
1182,3.72362E-03
1183,3.74590E-03
1184,3.76824E-03
1185,3.79264E-03
1186,3.81622E-03
1187,3.84002E-03
1188,3.86291E-03
1189,3.88795E-03
1190,3.91265E-03
1191,3.93735E-03
1192,3.96111E-03
1193,3.98677E-03
1194,4.01156E-03
1195,4.03611E-03
1196,4.06122E-03
1197,4.08535E-03
1198,4.11138E-03
1199,4.13760E-03
1200,4.16320E-03
1201,4.18922E-03
1202,4.21581E-03
1203,4.24148E-03
1204,4.26811E-03
1205,4.29416E-03
1206,4.32130E-03
1207,4.34776E-03
1208,4.37514E-03
1209,4.40198E-03
1210,4.43011E-03
1211,4.45726E-03
1212,4.48476E-03
1213,4.51337E-03
1214,4.54196E-03
1215,4.56911E-03
1216,4.59786E-03
1217,4.62586E-03
1218,4.65634E-03
1219,4.68477E-03
1220,4.71414E-03
1221,4.74397E-03
1222,4.77277E-03
1223,4.80263E-03
1224,4.83269E-03
1225,4.86237E-03
1226,4.89248E-03
1227,4.92348E-03
1228,4.95360E-03
1229,4.98408E-03
1230,5.01622E-03
1231,5.04759E-03
1232,5.07863E-03
1233,5.10955E-03
1234,5.14286E-03
1235,5.17514E-03
1236,5.20721E-03
1237,5.23922E-03
1238,5.27127E-03
1239,5.30420E-03
1240,5.33802E-03
1241,5.37052E-03
1242,5.40386E-03
1243,5.43882E-03
1244,5.47201E-03
1245,5.50625E-03
1246,5.54118E-03
1247,5.57438E-03
1248,5.60931E-03
1249,5.64456E-03
1250,5.68067E-03
1251,5.71550E-03
1252,5.75130E-03
1253,5.78759E-03
1254,5.82273E-03
1255,5.85969E-03
1256,5.89630E-03
1257,5.93340E-03
1258,5.96996E-03
1259,6.00645E-03
1260,6.04499E-03
1261,6.08181E-03
1262,6.11998E-03
1263,6.15820E-03
1264,6.19710E-03
1265,6.23538E-03
1266,6.27400E-03
1267,6.31229E-03
1268,6.35192E-03
1269,6.39144E-03
1270,6.43202E-03
1271,6.47194E-03
1272,6.51201E-03
1273,6.55236E-03
1274,6.59473E-03
1275,6.63477E-03
1276,6.67560E-03
1277,6.71711E-03
1278,6.75871E-03
1279,6.80211E-03
1280,6.84406E-03
1281,6.88599E-03
1282,6.93058E-03
